response_id,student_id,assessment_id,question_id,student_answer,is_correct,error_type,created_at
R000001,Student_001,ASM001,Q0032,varies,True,,2025-08-05T00:00:00
R000002,Student_001,ASM001,Q0067,varies,True,,2025-08-05T00:00:00
R000003,Student_001,ASM001,Q0113,varies,True,,2025-08-05T00:00:00
R000004,Student_001,ASM001,Q0121,varies,True,,2025-08-05T00:00:00
R000005,Student_001,ASM001,Q0082,incorrect_sign_error,False,sign_error,2025-08-05T00:00:00
R000006,Student_001,ASM001,Q0154,varies,True,,2025-08-05T00:00:00
R000007,Student_001,ASM001,Q0036,varies,True,,2025-08-05T00:00:00
R000008,Student_001,ASM001,Q0103,incorrect_sign_error,False,sign_error,2025-08-05T00:00:00
R000009,Student_001,ASM001,Q0100,varies,True,,2025-08-05T00:00:00
R000010,Student_001,ASM001,Q0099,varies,True,,2025-08-05T00:00:00
R000011,Student_001,ASM001,Q0125,varies,True,,2025-08-05T00:00:00
R000012,Student_001,ASM001,Q0017,varies,True,,2025-08-05T00:00:00
R000013,Student_001,ASM001,Q0074,varies,True,,2025-08-05T00:00:00
R000014,Student_001,ASM001,Q0160,varies,True,,2025-08-05T00:00:00
R000015,Student_001,ASM001,Q0133,varies,True,,2025-08-05T00:00:00
R000016,Student_001,ASM001,Q0068,varies,True,,2025-08-05T00:00:00
R000017,Student_001,ASM001,Q0120,varies,True,,2025-08-05T00:00:00
R000018,Student_001,ASM001,Q0041,varies,True,,2025-08-05T00:00:00
R000019,Student_001,ASM001,Q0005,varies,True,,2025-08-05T00:00:00
R000020,Student_001,ASM001,Q0048,varies,True,,2025-08-05T00:00:00
R000021,Student_002,ASM001,Q0032,varies,True,,2025-08-05T00:00:00
R000022,Student_002,ASM001,Q0067,varies,True,,2025-08-05T00:00:00
R000023,Student_002,ASM001,Q0113,varies,True,,2025-08-05T00:00:00
R000024,Student_002,ASM001,Q0121,incorrect_careless,False,careless,2025-08-05T00:00:00
R000025,Student_002,ASM001,Q0082,varies,True,,2025-08-05T00:00:00
R000026,Student_002,ASM001,Q0154,incorrect_arithmetic,False,arithmetic,2025-08-05T00:00:00
R000027,Student_002,ASM001,Q0036,incorrect_simplification,False,simplification,2025-08-05T00:00:00
R000028,Student_002,ASM001,Q0103,varies,True,,2025-08-05T00:00:00
R000029,Student_002,ASM001,Q0100,varies,True,,2025-08-05T00:00:00
R000030,Student_002,ASM001,Q0099,varies,True,,2025-08-05T00:00:00
R000031,Student_002,ASM001,Q0125,varies,True,,2025-08-05T00:00:00
R000032,Student_002,ASM001,Q0017,incorrect_denominator_handling,False,denominator_handling,2025-08-05T00:00:00
R000033,Student_002,ASM001,Q0074,varies,True,,2025-08-05T00:00:00
R000034,Student_002,ASM001,Q0160,incorrect_arithmetic,False,arithmetic,2025-08-05T00:00:00
R000035,Student_002,ASM001,Q0133,incorrect_careless,False,careless,2025-08-05T00:00:00
R000036,Student_002,ASM001,Q0068,incorrect_arithmetic,False,arithmetic,2025-08-05T00:00:00
R000037,Student_002,ASM001,Q0120,varies,True,,2025-08-05T00:00:00
R000038,Student_002,ASM001,Q0041,varies,True,,2025-08-05T00:00:00
R000039,Student_002,ASM001,Q0005,varies,True,,2025-08-05T00:00:00
R000040,Student_002,ASM001,Q0048,varies,True,,2025-08-05T00:00:00
R000041,Student_003,ASM001,Q0032,varies,True,,2025-08-05T00:00:00
R000042,Student_003,ASM001,Q0067,varies,True,,2025-08-05T00:00:00
R000043,Student_003,ASM001,Q0113,varies,True,,2025-08-05T00:00:00
R000044,Student_003,ASM001,Q0121,varies,True,,2025-08-05T00:00:00
R000045,Student_003,ASM001,Q0082,varies,True,,2025-08-05T00:00:00
R000046,Student_003,ASM001,Q0154,varies,True,,2025-08-05T00:00:00
R000047,Student_003,ASM001,Q0036,incorrect_simplification,False,simplification,2025-08-05T00:00:00
R000048,Student_003,ASM001,Q0103,incorrect_sign_error,False,sign_error,2025-08-05T00:00:00
R000049,Student_003,ASM001,Q0100,incorrect_sign_error,False,sign_error,2025-08-05T00:00:00
R000050,Student_003,ASM001,Q0099,varies,True,,2025-08-05T00:00:00
R000051,Student_003,ASM001,Q0125,varies,True,,2025-08-05T00:00:00
R000052,Student_003,ASM001,Q0017,incorrect_denominator_handling,False,denominator_handling,2025-08-05T00:00:00
R000053,Student_003,ASM001,Q0074,incorrect_conceptual,False,conceptual,2025-08-05T00:00:00
R000054,Student_003,ASM001,Q0160,incorrect_careless,False,careless,2025-08-05T00:00:00
R000055,Student_003,ASM001,Q0133,varies,True,,2025-08-05T00:00:00
R000056,Student_003,ASM001,Q0068,incorrect_decimal_placement,False,decimal_placement,2025-08-05T00:00:00
R000057,Student_003,ASM001,Q0120,varies,True,,2025-08-05T00:00:00
R000058,Student_003,ASM001,Q0041,varies,True,,2025-08-05T00:00:00
R000059,Student_003,ASM001,Q0005,varies,True,,2025-08-05T00:00:00
R000060,Student_003,ASM001,Q0048,varies,True,,2025-08-05T00:00:00
R000061,Student_004,ASM001,Q0032,incorrect_denominator_handling,False,denominator_handling,2025-08-05T00:00:00
R000062,Student_004,ASM001,Q0067,incorrect_conceptual,False,conceptual,2025-08-05T00:00:00
R000063,Student_004,ASM001,Q0113,varies,True,,2025-08-05T00:00:00
R000064,Student_004,ASM001,Q0121,incorrect_conceptual,False,conceptual,2025-08-05T00:00:00
R000065,Student_004,ASM001,Q0082,incorrect_conceptual,False,conceptual,2025-08-05T00:00:00
R000066,Student_004,ASM001,Q0154,varies,True,,2025-08-05T00:00:00
R000067,Student_004,ASM001,Q0036,varies,True,,2025-08-05T00:00:00
R000068,Student_004,ASM001,Q0103,varies,True,,2025-08-05T00:00:00
